cpt code  Major Category                                    Minor category                                    CPT description
73660     Radiology                                         Lower Extremities                                 73660 X-Ray Exam of Toe(s) 
62284     Surgery                                           Nervous                                           62284 Injection for Myelogram 
86431     Pathology                                         Immunology                                        86431 Rheumatoid Factor, Quant 
86753     Pathology                                         Immunology                                        86753 Protozoa, Not Elsewhere 
43261     Surgery                                           Digestive - Mouth/Esophagus                       43261 Endoscopy, Bile Duct/Pancreas 
93505     Medicine                                          Cardiovascular, Cardiac Cath                      93505 Biopsy of Heart Lining 
17250     Surgery                                           Integumentary                                     17250 Chemical Cautery, Tissue 
66711     Surgery                                           Eye                                               66711 Ciliary endoscopic ablation
99215     E&M                                               Moderate/High Severity                            99215 Office/Outpatient Visit, Est 
64640     Surgery                                           Nervous                                           64640 Injection Treatment of Nerve 
14060     Surgery                                           Integumentary                                     14060 Skin Tissue Rearrangement 
20937     Surgery                                           Muscuoskeletal - General                          20937 Spinal Bone Autograft 
52332     Surgery                                           Urinary                                           52332 Cystoscopy & Treatment 
61520     Surgery                                           Nervous                                           61520 Removal of Brain Lesion 
Q0092     HCPCS Codes                                       Temporary Codes                                   Q0092 Set up port xray equipment
80053     Pathology                                         Pathology                                         80053 Comprehensive Metabolic Panel
97035     Medicine                                          Other                                             97035 Ultrasound Therapy 
00410     Anesthesia                                        Anesthesia                                        00410 Anesth, Correct Heart Rhythm 
73221     Radiology                                         MRI                                               73221 Magnetic Image, Joint of Arm 
47563     Surgery                                           Digestive - Biliary Tract/Pancreas                47563 Lap, Surg; Cholecystectomy with Cholangiography
71275     Radiology                                         Head/Neck/Chest                                   71275 Ct angiography, chest
74240     Radiology                                         Abdomen/GI/Urinary                                74240 X-Ray Exam Upper Gi Tract 
90688     Medicine                                          Immune Globulins/Immunizations/Vaccines           90688 Flu vacc 4 val 3 yrs plus im
86140     Pathology                                         Immunology                                        86140 C-Reactive Protein 
90839     Medicine                                          Psychiatry & Biofeedback                          90839 Psytx crisis initial 60 min
93308     Medicine                                          Cardiovascular, Echocardiography                  93308 ECHO Exam of Heart 
72158     Radiology                                         MRI                                               72158 Magnetic Image, Lumbar Spine 
51728     Surgery                                           Urinary                                           51728 Cystometrogram w/vp
00810     Anesthesia                                        Anesthesia                                        00810 Anesth, Intestine Endoscopy 
45380     Surgery                                           Digestive - Rectum/Anus                           45380 Colonoscopy and Biopsy 
92557     Medicine                                          ENT                                               92557 Comprehensive Hearing Test 
J1040     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J1040 Methylprednisolone 80 MG inj
72220     Radiology                                         Spine & Pelvis                                    72220 X-Ray Exam of Tailbone 
74178     Radiology                                         Abdomen/GI/Urinary                                74178 Ct abd & pelv 1/> regns
80061     Pathology                                         Pathology                                         80061 Lipid Panel 
82274     Pathology                                         Chemistry                                         82274 Assay test for blood, fecal
92250     Medicine                                          Ophthalmology                                     92250 Eye Exam with Photos 
73610     Radiology                                         Lower Extremities                                 73610 X-Ray Exam of Ankle 
93890     Medicine                                          Non-Invasive Vascular and Diagnostic              93890 Tcd vasoreactivity study
36569     Surgery                                           Cardiovascular - Arteries/Veins                   36569 Insert tunneled cv cath
43254                                                                                                         43254     Egd endo mucosal resection
87521     Pathology                                         Microbiology                                      87521 Hepatitis C, RNA, Amp Probe 
52281     Surgery                                           Urinary                                           52281 Cystoscopy & Treatment 
11421     Surgery                                           Integumentary                                     11421 Removal of Skin Lesion 
88313     Pathology                                         Surgical Pathology                                88313 Special Stains 
95938     Medicine                                          Neurology                                         95938 Somatosensory testing
83516     Pathology                                         Chemistry                                         83516 Immunoassay, Non Antibody 
90961                                                                                                         90961 Esrd srv 2-3 vsts p mo 20+
01967     Anesthesia                                        Anesthesia                                        01967 Anesth, Neuraxial labor
85025     Pathology                                         Hematology/Coagulation                            85025 Automated Hemogram 
86334     Pathology                                         Immunology                                        86334 Immunofixation Procedure 
G0297     HCPCS Codes                                       Temporary Codes                                   G0297 Insert single chamber/cd
83970     Pathology                                         Chemistry                                         83970 Assay of Parathormone 
A9552     HCPCS Codes                                       Radiopharmaceuticals                              A9552 F18 fdg
72170     Radiology                                         Spine & Pelvis                                    72170 X-Ray Exam of Pelvis 
11046     Surgery                                           Integumentary                                     11046 Deb musc/fascia add-on
11042     Surgery                                           Integumentary                                     11042 Debride Skin/Tissue 
36561     Surgery                                           Cardiovascular - Arteries/Veins                   36561 Insert tunneled cv cath
74150     Radiology                                         Abdomen/GI/Urinary                                74150 CAT Scan of Abdomen 
84153     Pathology                                         Chemistry                                         84153 PSA Total 
64415     Surgery                                           Nervous                                           64415 Injection for Nerve Block 
J9035     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J9035 Bevacizumab injection
84165     Pathology                                         Chemistry                                         84165 Assay Serum Proteins 
26123     Surgery                                           Muscuoskeletal - Shoulder/Arm/Hand                26123 Release Palm Contracture 
71020     Radiology                                         Head/Neck/Chest                                   71020 Chest X-Ray 
88175     Pathology                                         Cytopathology/Cytogenetic                         88175 Cytopath c/v auto fluid redo
77263     Radiology                                         Radiation Oncology                                77263 Radiation Therapy Planning 
83036     Pathology                                         Chemistry                                         83036 Glycated Hemoglobin Test 
93922     Medicine                                          Non-Invasive Vascular and Diagnostic              93922 Extremity Study 
75716     Radiology                                         Aorta/Arteries                                    75716 Artery X-Rays, Arms/Legs 
64483     Surgery                                           Nervous                                           64483 Injection, Anesthetic Agent And/Or Steroid
71101     Radiology                                         Head/Neck/Chest                                   71101 X-Ray Exam of Ribs, Chest 
91122     Medicine                                          Gastroenterology                                  91122 Anal Pressure Record 
43760     Surgery                                           Digestive - Stomach                               43760 Change Gastrostomy Tube 
80184     Pathology                                         Pathology                                         80184 Assay for Phenobarbital 
36147     Surgery                                           Cardiovascular - Arteries/Veins                   36147 Access av dial grft for eval
G0439     HCPCS Codes                                       Temporary Codes                                   G0439 PPPS, subseq visit
88346     Pathology                                         Surgical Pathology                                88346 Immunofluorescent Study 
70498     Radiology                                         Head/Neck/Chest                                   70498 Ct angiography, neck
92240     Medicine                                          Ophthalmology                                     92240 Icg Angiography 
77080     Radiology                                         Unknown                                           77080 Dxa bone density axial
81002     Pathology                                         Urinalysis                                        81002 Urinalysis Nonauto w/o Scope 
82044     Pathology                                         Chemistry                                         82044 Microalbumin, Semiquant 
73070     Radiology                                         Upper Extremities                                 73070 X-Ray Exam of Elbow 
93970     Medicine                                          Non-Invasive Vascular and Diagnostic              93970 Extremity Study 
28810     Surgery                                           Muscuoskeletal - Pelvis/Hip/Leg/Ankle/Foot        28810 Amputation Toe & Metatarsal 
38220     Surgery                                           Hemic/Lymphatic                                   38220 Bone marrow aspiration
80178     Pathology                                         Pathology                                         80178 Assay for Lithium 
99222     E&M                                               Low/Moderate Severity                             99222 Initial Hospital Care 
93010     Medicine                                          Cardiovascular, Cardiography                      93010 Electrocardiogram Report 
96921     Medicine                                          Other                                             96921 Laser Tx, Skin 250-500 Sq Cm
72197     Radiology                                         MRI                                               72197 Mri pelvis w/o & w dye
86677     Pathology                                         Immunology                                        86677 Helicobacter Pylori 
87880     Pathology                                         Microbiology                                      87880 Strep A Assay w/Optic 
78815     Radiology                                         Nuclear Medicine                                  78815 Pet image w/ct skull-thigh
72132     Radiology                                         Spine & Pelvis                                    72132 Contrast CAT of Lower Spine 
64636     Surgery                                           Nervous                                           64636 Destroy l/s facet jnt addl
86580     Pathology                                         Immunology                                        86580 TB Intradermal Test 
31628     Surgery                                           Respiratory System                                31628 Bronchoscopy with Biopsy 
73030     Radiology                                         Upper Extremities                                 73030 X-Ray Exam of Shoulder 
G0145     HCPCS Codes                                       Temporary Codes                                   G0145 Scr c/v cyto,thinlayer,rescr
A0428     HCPCS Codes                                       Transportation                                    A0428 BLS
71030     Radiology                                         Head/Neck/Chest                                   71030 Chest X-Ray 
G0364     HCPCS Codes                                       Temporary Codes                                   G0364 Bone marrow aspirate &biopsy
99224     E&M                                               Low/Moderate Severity                             99224 Subsequent observation care
10022     Surgery                                           Integumentary                                     10022 Fna w/image
76882     Radiology                                         Diagnostic Ultrasound                             76882 Us xtr non-vasc lmtd
82140     Pathology                                         Chemistry                                         82140 Assay of Ammonia 
92579     Medicine                                          ENT                                               92579 Visual Audiometry (VRA) 
00914     Anesthesia                                        Anesthesia                                        00914 Anesth, Removal of Prostate 
94727     Medicine                                          Pulmonary                                         94727 Pulm function test by gas
92540     Medicine                                          ENT                                               92540 Basic vestibular evaluation
G0461                                                                                                         G0461     Immunohisto/cyto chem 1st st
84132     Pathology                                         Chemistry                                         84132 Assay Serum Potassium 
73562     Radiology                                         Lower Extremities                                 73562 X-Ray Exam of Knee, 3 
64493     Surgery                                           Nervous                                           64493 Inj paravert f jnt l/s 1 lev
99238     E&M                                               Low/Moderate Severity                             99238 Hospital Discharge Day 
84550     Pathology                                         Chemistry                                         84550 Assay Blood Uric Acid 
71260     Radiology                                         Head/Neck/Chest                                   71260 Contrast CAT Scan of Chest 
14061     Surgery                                           Integumentary                                     14061 Skin Tissue Rearrangement 
21556     Surgery                                           Muscuoskeletal - Neck & Thorax                    21556 Remove Lesion Neck/Chest 
86317     Pathology                                         Immunology                                        86317 Immunoassay,Infectious Agent 
88141     Pathology                                         Cytopathology/Cytogenetic                         88141 Cytpath C/Vag Interpret 
90656     Medicine                                          Immune Globulins/Immunizations/Vaccines           90656 Flu vaccine no preserv 3 & >
68110     Surgery                                           Eye                                               68110 Remove Eyelid Lining Lesion 
83615     Pathology                                         Chemistry                                         83615 Lactate (Ld) (Ldh) Enzyme 
26910     Surgery                                           Muscuoskeletal - Shoulder/Arm/Hand                26910 Amputate Metacarpal Bone 
J7324     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J7324 Orthovisc inj per dose
01402     Anesthesia                                        Anesthesia                                        01402 Anesth, Replacement of Knee 
73100     Radiology                                         Upper Extremities                                 73100 X-Ray Exam of Wrist 
31624     Surgery                                           Respiratory System                                31624 Dx Bronchoscope/Lavage 
84156     Pathology                                         Chemistry                                         84156 Assay of protein, urine
72040     Radiology                                         Spine & Pelvis                                    72040 X-Ray Exam of Neck Spine 
35476     Surgery                                           Cardiovascular - Arteries/Veins                   35476 Repair Venous Blockage 
45385     Surgery                                           Digestive - Rectum/Anus                           45385 Colonoscopy, Lesion Removal 
J7308     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J7308 Aminolevulinic acid hcl top
37226     Surgery                                           Cardiovascular - Arteries/Veins                   37226 Fem/popl revasc w/stent
27535     Surgery                                           Muscuoskeletal - Pelvis/Hip/Leg/Ankle/Foot        27535 Treatment of Knee Fracture 
93312     Medicine                                          Cardiovascular, Echocardiography                  93312 ECHO Transesophageal 
31500     Surgery                                           Respiratory System                                31500 Insert Emergency Airway 
36415     Surgery                                           Cardiovascular - Arteries/Veins                   36415 Drawing Blood 
19281                                                                                                         19281     Perq device breast 1st imag
26055     Surgery                                           Muscuoskeletal - Shoulder/Arm/Hand                26055 Incise Finger Tendon Sheath 
23350     Surgery                                           Muscuoskeletal - Shoulder/Arm/Hand                23350 Injection for Shoulder X-Ray 
99292     E&M                                               Low/Moderate Severity                             99292 Critical Care, Addl 30 Min 
11602     Surgery                                           Integumentary                                     11602 Removal of Skin Lesion 
80164     Pathology                                         Pathology                                         80164 Assay, Dipropylacetic Acid 
83002     Pathology                                         Chemistry                                         83002 Gonadotropin (LH) 
97112     Medicine                                          Other                                             97112 Neuromuscular Reeducation 
76377     Radiology                                         Veins/Lymphatics                                  76377 3d render w/intrp postproces
40801     Surgery                                           Digestive - Mouth/Esophagus                       40801 Drainage of Mouth Lesion 
90834     Medicine                                          Psychiatry & Biofeedback                          90834 Psytx pt&/family 45 minutes
80076     Pathology                                         Pathology                                         80076 Hepatic Function Panel
73120     Radiology                                         Upper Extremities                                 73120 X-Ray Exam of Hand 
43245     Surgery                                           Digestive - Mouth/Esophagus                       43245 Operative Upper Gi Endoscopy 
G0399     HCPCS Codes                                       Temporary Codes                                   G0399 Home sleep test/type 3 Porta
93224     Medicine                                          Cardiovascular, Cardiography                      93224 ECG Monitor/Report, 24 Hrs 
99495     E&M                                               Low/Moderate Severity                             99495 Trans care mgmt 14 day disch
J1885     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J1885 Ketorolac tromethamine inj
11055     Surgery                                           Integumentary                                     11055 Trim Skin Lesion 
11402     Surgery                                           Integumentary                                     11402 Removal of Skin Lesion 
84100     Pathology                                         Chemistry                                         84100 Assay Phosphorus 
29828     Surgery                                           Muscuoskeletal - Endoscopy/Arthroscopy            29828 Arthroscopy biceps tenodesis
64612     Surgery                                           Nervous                                           64612 Destroy Nerve, Face Muscle 
87621     Pathology                                         Microbiology                                      87621 HPV, DNA, Amp Probe 
00530     Anesthesia                                        Anesthesia                                        00530 Anesth, Pacemaker Insertion 
83721     Pathology                                         Chemistry                                         83721 Blood Lipoprotein Assay 
92060     Medicine                                          Ophthalmology                                     92060 Special Eye Evaluation 
78582     Radiology                                         Nuclear Medicine                                  78582 Lung ventilat&perfus imaging
99217     E&M                                               Low/Moderate Severity                             99217 Observation Care Discharge 
95806     Medicine                                          Neurology                                         95806 Sleep Study, Unattended 
92136     Medicine                                          Ophthalmology                                     92136 Ophthalmic biometry
90732     Medicine                                          Immune Globulins/Immunizations/Vaccines           90732 Pneumococcal Vaccine, Adult 
72141     Radiology                                         MRI                                               72141 Magnetic Image, Neck Spine 
92235     Medicine                                          Ophthalmology                                     92235 Eye Exam with Photos 
92552     Medicine                                          ENT                                               92552 Pure Tone Audiometry, Air 
96372     Medicine                                          Unknown                                           96372 Ther/proph/diag inj sc/im
99284     E&M                                               Moderate/High Severity                            99284 Emergency Dept Visit 
90471     Medicine                                          Immune Globulins/Immunizations/Vaccines           90471 Immunization Admin, Single 
87591     Pathology                                         Microbiology                                      87591 N.Gonorrhoeae, DNA, Amp Prob 
82570     Pathology                                         Chemistry                                         82570 Assay Urine Creatinine 
00400     Anesthesia                                        Anesthesia                                        00400 Anesth, Chest Skin Surgery 
70551     Radiology                                         MRI                                               70551 Magnetic Image, Brain (MRI) 
97032     Medicine                                          Other                                             97032 Electrical Stimulation 
72070     Radiology                                         Spine & Pelvis                                    72070 X-Ray Exam of Thorax Spine 
01210     Anesthesia                                        Anesthesia                                        01210 Anesth, Hip Joint Surgery 
81001     Pathology                                         Urinalysis                                        81001 Urinalysis, Auto, w/Scope 
76519     Radiology                                         Diagnostic Ultrasound                             76519 ECHO Exam of Eye 
17311     Revenue Code                                      Revenue Code                                      17311 Mohs 1 stage h/n/hf/g
72110     Radiology                                         Spine & Pelvis                                    72110 X-Ray Exam of Lower Spine 
92286     Medicine                                          Ophthalmology                                     92286 Internal Eye Photography 
76942     Radiology                                         Diagnostic Ultrasound                             76942 ECHO Guide for Biopsy 
93350     Medicine                                          Cardiovascular, Echocardiography                  93350 ECHO Transthoracic 
J2778     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J2778 Ranibizumab injection
72125     Radiology                                         Spine & Pelvis                                    72125 CAT Scan of Neck Spine 
43235     Surgery                                           Digestive - Mouth/Esophagus                       43235 Upper Gi Endoscopy, Diagnosis 
17004     Surgery                                           Integumentary                                     17004 Destroy 15 & More Lesions 
98940     Medicine                                          Other                                             98940 Chiropractic Manipulation 
00140     Anesthesia                                        Anesthesia                                        00140 Anesth, Procedures on Eye 
87147     Pathology                                         Microbiology                                      87147 Culture Typing, Serologic 
82533     Pathology                                         Chemistry                                         82533 Total Cortisol 
11720     Surgery                                           Integumentary                                     11720 Debride Nail, 1-5 
99315     E&M                                               Low/Moderate Severity                             99315 Nursing Fac Discharge Day 
51700     Surgery                                           Urinary                                           51700 Irrigation of Bladder 
93272     Medicine                                          Cardiovascular, Cardiography                      93272 ECG/Review, Interpret Only 
76817     Radiology                                         Diagnostic Ultrasound                             76817 Transvaginal us, obstetric
G0432     HCPCS Codes                                       Temporary Codes                                   G0432 EIA HIV-1/HIV-2 screen
82310     Pathology                                         Chemistry                                         82310 Assay Calcium 
01830     Anesthesia                                        Anesthesia                                        01830 Anesth, Lower Arm Surgery 
99225     E&M                                               Low/Moderate Severity                             99225 Subsequent observation care
84305     Pathology                                         Chemistry                                         84305 Somatomedin 
84432     Pathology                                         Chemistry                                         84432 Thyroglobulin 
97001     Medicine                                          Other                                             97001 Pt Evaluation 
92499     Medicine                                          Ophthalmology                                     92499 Eye Service Or Procedure 
G0444     HCPCS Codes                                       Temporary Codes                                   G0444 Depression screen annual
64494     Surgery                                           Nervous                                           64494 Inj paravert f jnt l/s 2 lev
G0268     HCPCS Codes                                       Temporary Codes                                   G0268 Removal of impacted wax md
77075     Radiology                                         Unknown                                           77075 X-rays bone survey complete
74177     Radiology                                         Abdomen/GI/Urinary                                74177 Ct abd & pelv w/contrast
88311     Pathology                                         Surgical Pathology                                88311 Decalcify Tissue 
19081                                                                                                         19081     Bx breast 1st lesion strtctc
71250     Radiology                                         Head/Neck/Chest                                   71250 CAT Scan of Chest 
64484     Surgery                                           Nervous                                           64484 Injection, Anesthetic Agent And/Or Steroid
73500     Radiology                                         Lower Extremities                                 73500 X-Ray Exam of Hip 
64718     Surgery                                           Nervous                                           64718 Revise Ulnar Nerve at Elbow 
86039     Pathology                                         Immunology                                        86039 Antinuclear Antibodies (ANA) 
99203     E&M                                               Low/Moderate Severity                             99203 Office/Outpatient Visit, New 
95923     Medicine                                          Neurology                                         95923 Autonomic nerv function test
10061     Surgery                                           Integumentary                                     10061 Drainage of Skin Abscess 
38206     Surgery                                           Hemic/Lymphatic                                   38206 Harvest auto stem cells
86480     Pathology                                         Immunology                                        86480 Tb test, cell immun measure
92543     Medicine                                          ENT                                               92543 Caloric Vestibular Test 
11442     Surgery                                           Integumentary                                     11442 Removal of Skin Lesion 
69433     Surgery                                           Auditory                                          69433 Create Eardrum Opening 
88307     Pathology                                         Surgical Pathology                                88307 Tissue Exam By Pathologist 
70491     Radiology                                         Head/Neck/Chest                                   70491 Contrast CAT of Neck Tissue 
A0434     HCPCS Codes                                       Transportation                                    A0434 Specialty care transport
52214     Surgery                                           Urinary                                           52214 Cystoscopy & Treatment 
99213     E&M                                               Low/Moderate Severity                             99213 Office/Outpatient Visit, Est 
84520     Pathology                                         Chemistry                                         84520 Assay Urea Nitrogen 
73080     Radiology                                         Upper Extremities                                 73080 X-Ray Exam of Elbow 
70547     Radiology                                         MRI                                               70547 Mr angiography neck w/o dye
87101     Pathology                                         Microbiology                                      87101 Skin Fungus Culture 
58120     Surgery                                           Female Genital System                             58120 Dilation and Curettage (D&C) 
Q4049     HCPCS Codes                                       Temporary Codes                                   Q4049 Finger splint, static
G0453     HCPCS Codes                                       Temporary Codes                                   G0453 Cont intraop neuro monitor
84155     Pathology                                         Chemistry                                         84155 Assay Protein 
88305     Pathology                                         Surgical Pathology                                88305 Tissue Exam By Pathologist 
73000     Radiology                                         Upper Extremities                                 73000 X-Ray Exam of Collarbone 
92020     Medicine                                          Ophthalmology                                     92020 Special Eye Evaluation 
88120     Pathology                                         Cytopathology/Cytogenetic                         88120 Cytp urne 3-5 probes ea spec
86430     Pathology                                         Immunology                                        86430 Rheumatoid Factor Test 
G0202     HCPCS Codes                                       Temporary Codes                                   G0202 Screeningmammographydigital
86618     Pathology                                         Immunology                                        86618 Lyme Disease Antibody 
88173     Pathology                                         Cytopathology/Cytogenetic                         88173 Interpretation of Smear 
00300     Anesthesia                                        Anesthesia                                        00300 Anesth, Skin Surgery, Neck 
A9579     HCPCS Codes                                       Radiopharmaceuticals                              A9579 Gad-base MR contrast NOS,1ml
86376     Pathology                                         Immunology                                        86376 Microsomal Antibody 
73560     Radiology                                         Lower Extremities                                 73560 X-Ray Exam of Knee, 1 Or 2 
12001     Surgery                                           Integumentary                                     12001 Repair Superficial Wound(s) 
99496     E&M                                               Low/Moderate Severity                             99496 Trans care mgmt 7 day disch
92555     Medicine                                          ENT                                               92555 Speech Threshold Audiometry 
90847     Medicine                                          Psychiatry & Biofeedback                          90847 Family Psytx w/Patient 
11603     Surgery                                           Integumentary                                     11603 Removal of Skin Lesion 
76536     Radiology                                         Diagnostic Ultrasound                             76536 ECHO Exam of Head and Neck 
43246     Surgery                                           Digestive - Mouth/Esophagus                       43246 Place Gastrostomy Tube 
82962     Pathology                                         Chemistry                                         82962 Glucose Blood Test 
86803     Pathology                                         Immunology                                        86803 Hepatitis C Ab Test 
73630     Radiology                                         Lower Extremities                                 73630 X-Ray Exam of Foot 
73620     Radiology                                         Lower Extremities                                 73620 X-Ray Exam of Foot 
27880     Surgery                                           Muscuoskeletal - Pelvis/Hip/Leg/Ankle/Foot        27880 Amputation of Lower Leg 
17280     Surgery                                           Integumentary                                     17280 Destruction of Skin Lesions 
92225     Medicine                                          Ophthalmology                                     92225 Special Eye Exam, Initial 
95913     Medicine                                          Neurology                                         95913 Motor&sens 13/> nrv cnd test
36246     Surgery                                           Cardiovascular - Arteries/Veins                   36246 Place Catheter In Artery 
31575     Surgery                                           Respiratory System                                31575 Diagnostic Laryngoscopy 
90837     Medicine                                          Psychiatry & Biofeedback                          90837 Psytx pt&/family 60 minutes
86077     Pathology                                         Immunology                                        86077 Physician Blood Bank Service 
74220     Radiology                                         Abdomen/GI/Urinary                                74220 Contrast X-Ray Exam, Esophagus 
99304     E&M                                               Low/Moderate Severity                             99304 Nursing facility care init
73550     Radiology                                         Lower Extremities                                 73550 X-Ray Exam of Thigh 
95004     Medicine                                          Allergy & Immunology                              95004 Allergy Skin Tests 
90791     Medicine                                          Therapeutic Infusions/Injections (w/o chemo)      90791 Psych diagnostic evaluation
29846     Surgery                                           Muscuoskeletal - Endoscopy/Arthroscopy            29846 Wrist Arthroscopy/Surgery 
95911     Medicine                                          Neurology                                         95911 Motor&sen 9-10 nrv cndj test
74230     Radiology                                         Abdomen/GI/Urinary                                74230 Cinema X-Ray Throat/Esophagus 
84295     Pathology                                         Chemistry                                         84295 Assay Serum Sodium 
52300     Surgery                                           Urinary                                           52300 Cystoscopy & Treatment 
Q0111     HCPCS Codes                                       Temporary Codes                                   Q0111 Wet mounts/ w preparations
99236     E&M                                               Moderate/High Severity                            99236 Observ/Hosp Same Date 
G0447     HCPCS Codes                                       Temporary Codes                                   G0447 Behavior counsel obesity 15m
G0179     HCPCS Codes                                       Temporary Codes                                   G0179 MD recertification HHA PT
G0328     HCPCS Codes                                       Temporary Codes                                   G0328 Fecal blood scrn immunoassay
66982     Surgery                                           Eye                                               66982 Cataract surgery, complex
99283     E&M                                               Low/Moderate Severity                             99283 Emergency Dept Visit 
67924     Surgery                                           Eye                                               67924 Repair Eyelid Defect 
00670     Anesthesia                                        Anesthesia                                        00670 Anesth, Spine, Cord Surgery 
86592     Pathology                                         Immunology                                        86592 Blood Serology, Qualitative 
59400     Surgery                                           Maternity Care & Delivery                         59400 Obstetrical Care 
82728     Pathology                                         Chemistry                                         82728 Assay Ferritin 
52000     Surgery                                           Urinary                                           52000 Cystoscopy 
G0431     HCPCS Codes                                       Temporary Codes                                   G0431 Drug screen multiple class
81000     Pathology                                         Urinalysis                                        81000 Urinalysis, Nonauto, w/Scope 
20680     Surgery                                           Muscuoskeletal - General                          20680 Removal of Support Implant 
97002     Medicine                                          Other                                             97002 Pt Re-Evaluation 
92611     Medicine                                          Unknown                                           92611 Motion fluoroscopy/swallow
40812     Surgery                                           Digestive - Mouth/Esophagus                       40812 Excise/Repair Mouth Lesion 
99310     E&M                                               Low/Moderate Severity                             99310 Nursing fac care subseq
58555     Surgery                                           Female Genital System                             58555 Hysteroscopy, Diagnostic
80299     Pathology                                         Pathology                                         80299 Quantitative Assay, Drug 
G0101     HCPCS Codes                                       Temporary Codes                                   G0101 CA screen;pelvic/breast exam
74170     Radiology                                         Abdomen/GI/Urinary                                74170 Contrast CAT Scans, Abdomen 
17003     Surgery                                           Integumentary                                     17003 Destroy 2-14 Lesions 
01630     Anesthesia                                        Anesthesia                                        01630 Anesth, Surgery of Shoulder 
87491     Pathology                                         Microbiology                                      87491 Chylmd Trach, DNA, Amp Probe 
87081     Pathology                                         Microbiology                                      87081 Bacteria Culture Screen 
46083     Surgery                                           Digestive - Rectum/Anus                           46083 Incise External Hemorrhoid 
00952     Anesthesia                                        Anesthesia                                        00952 Anesth, Uterine Endoscopy 
62272     Surgery                                           Nervous                                           62272 Drain Spinal Fluid 
74000     Radiology                                         Abdomen/GI/Urinary                                74000 X-Ray Exam of Abdomen 
84443     Pathology                                         Chemistry                                         84443 Assay Thyroid Stim Hormone 
82784     Pathology                                         Chemistry                                         82784 Assay Gammaglobulin IGM
92542     Medicine                                          ENT                                               92542 Positional Nystagmus Test 
74176     Radiology                                         Abdomen/GI/Urinary                                74176 Ct abd & pelvis
77052     Radiology                                         Unknown                                           77052 Comp screen mammogram add-on
88304     Pathology                                         Surgical Pathology                                88304 Tissue Exam By Pathologist 
17111     Surgery                                           Integumentary                                     17111 Destruct Lesion, 15 Or More 
A0425     HCPCS Codes                                       Transportation                                    A0425 Ground mileage
85018     Pathology                                         Hematology/Coagulation                            85018 Hemoglobin 
27137     Surgery                                           Muscuoskeletal - Pelvis/Hip/Leg/Ankle/Foot        27137 Revise Hip Joint Replacement 
01400     Anesthesia                                        Anesthesia                                        01400 Anesth, Knee Joint Surgery 
99202     E&M                                               Low/Moderate Severity                             99202 Office/Outpatient Visit, New 
76700     Radiology                                         Diagnostic Ultrasound                             76700 ECHO Exam of Abdomen 
45330     Surgery                                           Digestive - Rectum/Anus                           45330 Sigmoidoscopy, Diagnostic 
90670     Medicine                                          Immune Globulins/Immunizations/Vaccines           90670 Pneumococcal vacc 13 val im
92567     Medicine                                          ENT                                               92567 Tympanometry 
82550     Pathology                                         Chemistry                                         82550 Assay CK (CPK) 
93454     Medicine                                          Cardiovascular, Cardiac Cath                      93454 Coronary artery angio s&i
70150     Radiology                                         Head/Neck/Chest                                   70150 X-Ray Exam of Facial Bones 
78452     Radiology                                         Nuclear Medicine                                  78452 Ht muscle image spect mult
93325     Medicine                                          Cardiovascular, Echocardiography                  93325 Doppler Color Flow Add-on 
87077     Pathology                                         Microbiology                                      87077 Culture aerobic identify
83880     OP                                                OP                                                83880 Natriuretic peptide
77280     Radiology                                         Radiation Oncology                                77280 Set Radiation Therapy Field 
93886     Medicine                                          Non-Invasive Vascular and Diagnostic              93886 Intracranial Study 
62165     Surgery                                           Nervous                                           62165 Remove pituit tumor w/scope
19301     Surgery                                           Integumentary                                     19301 Partical mastectomy
77002     Radiology                                         Unknown                                           77002 Needle localization by xray
28470     Surgery                                           Muscuoskeletal - Pelvis/Hip/Leg/Ankle/Foot        28470 Treat Metatarsal Fracture 
00532     Anesthesia                                        Anesthesia                                        00532 Anesth, Vascular Access 
82306     Pathology                                         Chemistry                                         82306 Assay of Vitamin D 
22840     Surgery                                           Muscuoskeletal - Back/Spine/Abdomen               22840 Insert Spine Fixation Device 
80048     Pathology                                         Pathology                                         80048 Basic Metabolic Panel
99307     E&M                                               Low/Moderate Severity                             99307 Nursing fac care subseq
27487     Surgery                                           Muscuoskeletal - Pelvis/Hip/Leg/Ankle/Foot        27487 Revise Knee Joint Replace 
77427     Radiology                                         Radiation Oncology                                77427 Radiation Treatment Management, Five Treatments
15260     Surgery                                           Integumentary                                     15260 Skin Full Graft 
77290     Radiology                                         Radiation Oncology                                77290 Set Radiation Therapy Field 
77334     Radiology                                         Radiation Oncology                                77334 Radiation Treatment Aid(s) 
92134     Medicine                                          Ophthalmology                                     92134 Cptr ophth dx img post segmt
76872     Radiology                                         Diagnostic Ultrasound                             76872 ECHO Exam, Transrectal 
66821     Surgery                                           Eye                                               66821 After Cataract Laser Surgery 
28230     Surgery                                           Muscuoskeletal - Pelvis/Hip/Leg/Ankle/Foot        28230 Incision of foot tendon(s)
99233     E&M                                               Low/Moderate Severity                             99233 Subsequent Hospital Care 
